Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,physiotype,library
GO_Biological_Process_2021,regulation of B cell proliferation (GO:0030888),7/46,3.4629243628747584e-07,0.0003230908430562149,0,0,18.377441211638104,273.3824888472053,BLK;TNFRSF13B;FCRL3;MZB1;TNFRSF13C;CD22;TNFRSF21,1,GO_Biological_Process_2021
GO_Biological_Process_2021,B cell receptor signaling pathway (GO:0050853),6/34,9.879356471904303e-07,0.0004608719794143357,0,0,21.83946980854197,301.98850704121634,BLK;CD79B;CD79A;IGLL5;CD19;MS4A1,1,GO_Biological_Process_2021
GO_Biological_Process_2021,regulation of B cell receptor signaling pathway (GO:0050855),5/23,2.7643280226436368e-06,0.0008597060150421711,0,0,28.17948717948718,360.6611683989916,BLK;FCRL3;CD19;PAX5;CD22,1,GO_Biological_Process_2021
GO_Biological_Process_2021,regulation of B cell activation (GO:0050864),5/28,7.75242440134287e-06,0.0018082529916132,0,0,22.0479375696767,259.44921421372527,IGLL5;CD19;FCRL3;MZB1;CD22,1,GO_Biological_Process_2021
GO_Biological_Process_2021,B cell proliferation (GO:0042100),5/32,1.5377155419858243e-05,0.0028693772013455,0,0,18.77777777777778,208.10711759419505,CD79A;CR2;CD19;CD180;MS4A1,1,GO_Biological_Process_2021
GO_Biological_Process_2021,homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156),6/60,2.963485145494461e-05,0.0046082194012438,0,0,11.309278350515465,117.91686334351428,CEACAM6;CEACAM5;PLXNB3;VSTM2L;NECTIN4;NECTIN1,1,GO_Biological_Process_2021
GO_Biological_Process_2021,regulation of dendritic cell apoptotic process (GO:2000668),3/11,0.00015320271943439296,0.0204197338903269,0,0,37.6751269035533,330.92884130781977,BLK;CCR7;CCL19,1,GO_Biological_Process_2021
GO_Biological_Process_2021,negative regulation of B cell proliferation (GO:0030889),3/12,0.00020276702349047895,0.0236477041145771,0,0,33.48730964467005,284.75776049641166,BLK;TNFRSF13B;TNFRSF21,1,GO_Biological_Process_2021
GO_Biological_Process_2021,regulation of antigen receptor-mediated signaling pathway (GO:0050854),3/13,0.00026165809515097364,0.0271252225306509,0,0,30.13705583756345,248.5846578261998,BLK;CD19;PAX5,1,GO_Biological_Process_2021
GO_Biological_Process_2021,antigen receptor-mediated signaling pathway (GO:0050851),8/185,0.0005616536616338587,0.0505617675345049,0,0,4.619350282485875,34.574105340102705,BLK;CD79B;CD79A;IGLL5;CD19;MS4A1;CARD11;TNFRSF21,1,GO_Biological_Process_2021
GO_Biological_Process_2021,negative regulation of lymphocyte proliferation (GO:0050672),4/39,0.0006068640222899578,0.0505617675345049,0,0,11.524781341107872,85.36642728574833,BLK;TNFRSF13B;FOXP3;TNFRSF21,1,GO_Biological_Process_2021
GO_Biological_Process_2021,cellular response to tumor necrosis factor (GO:0071356),8/194,0.0007666843378305588,0.0505617675345049,0,0,4.393817204301075,31.51876385529024,CCL22;TNFRSF13B;LTA;CD27;TNFRSF13C;CCL19;LTB;TNFRSF21,1,GO_Biological_Process_2021
GO_Biological_Process_2021,heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0007157),4/42,0.0008067730463282587,0.0505617675345049,0,0,10.613319011815252,75.59302673955138,CEACAM6;CEACAM5;NECTIN4;NECTIN1,1,GO_Biological_Process_2021
GO_Biological_Process_2021,positive regulation of JNK cascade (GO:0046330),5/73,0.0008234685243405408,0.0505617675345049,0,0,7.440422322775264,52.84176944790253,UNC5CL;SERPINF2;CD27;CCR7;CCL19,1,GO_Biological_Process_2021
GO_Biological_Process_2021,negative regulation of immunoglobulin production (GO:0002638),2/5,0.0009754681839454336,0.0505617675345049,0,0,66.65656565656566,462.1028413784856,FCRL3;CD22,1,GO_Biological_Process_2021
GO_Biological_Process_2021,establishment of T cell polarity (GO:0001768),2/5,0.0009754681839454336,0.0505617675345049,0,0,66.65656565656566,462.1028413784856,CCR7;CCL19,1,GO_Biological_Process_2021
GO_Biological_Process_2021,response to prostaglandin (GO:0034694),2/5,0.0009754681839454336,0.0505617675345049,0,0,66.65656565656566,462.1028413784856,CCR7;CCL19,1,GO_Biological_Process_2021
GO_Biological_Process_2021,mature conventional dendritic cell differentiation (GO:0097029),2/5,0.0009754681839454336,0.0505617675345049,0,0,66.65656565656566,462.1028413784856,CCR7;CCL19,1,GO_Biological_Process_2021
GO_Biological_Process_2021,positive regulation of cell-cell adhesion (GO:0022409),4/47,0.0012365931398092,0.0513952371913167,0,0,9.376839107736116,62.78164306999791,CEACAM6;SERPINF2;CXCL13;FUT3,1,GO_Biological_Process_2021
GO_Biological_Process_2021,positive regulation of cell adhesion (GO:0045785),5/80,0.0012458385137188,0.0513952371913167,0,0,6.743589743589744,45.1007672259829,ADGRG1;AGR2;LIF;CCR7;FUT3,1,GO_Biological_Process_2021
GO_Biological_Process_2021,negative regulation of B cell activation (GO:0050869),3/22,0.0013185462203513,0.0513952371913167,0,0,15.854394870424793,105.13406751270358,BLK;TNFRSF13B;TNFRSF21,1,GO_Biological_Process_2021
GO_Biological_Process_2021,negative regulation of B cell receptor signaling pathway (GO:0050859),2/6,0.0014535707837741,0.0513952371913167,0,0,49.98989898989899,326.6206097208578,FCRL3;CD22,1,GO_Biological_Process_2021
GO_Biological_Process_2021,positive regulation of antigen processing and presentation (GO:0002579),2/6,0.0014535707837741,0.0513952371913167,0,0,49.98989898989899,326.6206097208578,CCR7;CCL19,1,GO_Biological_Process_2021
GO_Biological_Process_2021,establishment of lymphocyte polarity (GO:0001767),2/6,0.0014535707837741,0.0513952371913167,0,0,49.98989898989899,326.6206097208578,CCR7;CCL19,1,GO_Biological_Process_2021
GO_Biological_Process_2021,positive regulation of dendritic cell antigen processing and presentation (GO:0002606),2/6,0.0014535707837741,0.0513952371913167,0,0,49.98989898989899,326.6206097208578,CCR7;CCL19,1,GO_Biological_Process_2021
GO_Biological_Process_2021,glycoprotein biosynthetic process (GO:0009101),5/83,0.0014688493611099,0.0513952371913167,0,0,6.483234714003944,42.29192897294149,FUT6;ST6GALNAC1;B3GNT6;B3GNT3;FUT2,1,GO_Biological_Process_2021
GO_Biological_Process_2021,oligosaccharide biosynthetic process (GO:0009312),3/23,0.0015052246919242,0.0513952371913167,0,0,15.060913705583756,97.87806321199126,FUT6;FUT2;FUT3,1,GO_Biological_Process_2021
GO_Biological_Process_2021,B cell activation (GO:0042113),5/85,0.0016330044910439,0.0513952371913167,0,0,6.32051282051282,40.560840018013536,CD79B;CD79A;CR2;MS4A1;CD22,1,GO_Biological_Process_2021
GO_Biological_Process_2021,cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742),7/170,0.0016417160119961,0.0513952371913167,0,0,4.369465017959884,28.017067526816344,CLDN10;CEACAM6;CEACAM5;PLXNB3;VSTM2L;NECTIN4;NECTIN1,1,GO_Biological_Process_2021
GO_Biological_Process_2021,carbohydrate biosynthetic process (GO:0016051),3/24,0.0017076659731305,0.0513952371913167,0,0,14.343002175489485,91.40261395182884,FUT6;FUT2;FUT3,1,GO_Biological_Process_2021
GO_Biological_Process_2021,dendritic cell differentiation (GO:0097028),3/24,0.0017076659731305,0.0513952371913167,0,0,14.343002175489485,91.40261395182884,BLK;CCR7;CCL19,1,GO_Biological_Process_2021
GO_Biological_Process_2021,positive regulation of B cell activation (GO:0050871),4/53,0.001937740092534,0.0553560424716307,0,0,8.226155768429821,51.382484683548725,IGLL5;FCRL3;CD27;TNFRSF13C,1,GO_Biological_Process_2021
GO_Biological_Process_2021,negative regulation of dendritic cell apoptotic process (GO:2000669),2/7,0.0020216133697869,0.0553560424716307,0,0,39.98989898989899,248.09171029141777,CCR7;CCL19,1,GO_Biological_Process_2021
GO_Biological_Process_2021,iron coordination entity transport (GO:1901678),2/7,0.0020216133697869,0.0553560424716307,0,0,39.98989898989899,248.09171029141777,LCN2;LTF,1,GO_Biological_Process_2021
GO_Biological_Process_2021,regulation of humoral immune response (GO:0002920),4/54,0.0020765932331265,0.0553560424716307,0,0,8.061224489795919,49.79439807569174,CR2;CD19;CCR7;CXCL13,1,GO_Biological_Process_2021
GO_Biological_Process_2021,immunological synapse formation (GO:0001771),2/8,0.0026777674677022,0.0659004101142834,0,0,33.323232323232325,197.36590289038227,CCR7;CCL19,1,GO_Biological_Process_2021
GO_Biological_Process_2021,regulation of immunoglobulin production (GO:0002637),3/28,0.0026840467141937,0.0659004101142834,0,0,12.045685279187817,71.31563234569973,FCRL3;MZB1;CD22,1,GO_Biological_Process_2021
GO_Biological_Process_2021,positive regulation of phosphatidylinositol 3-kinase activity (GO:0043552),3/28,0.0026840467141937,0.0659004101142834,0,0,12.045685279187817,71.31563234569973,CD19;CCR7;CCL19,1,GO_Biological_Process_2021
GO_Biological_Process_2021,positive regulation of stress-activated MAPK cascade (GO:0032874),5/99,0.0031829814394319,0.0673495499079716,0,0,5.375340971085652,30.90787173221737,UNC5CL;SERPINF2;CD27;CCR7;CCL19,1,GO_Biological_Process_2021
GO_Biological_Process_2021,B cell differentiation (GO:0030183),4/61,0.0032458250655199,0.0673495499079716,0,0,7.0687432867884,40.50662547348915,CD79B;CD79A;CR2;MS4A1,1,GO_Biological_Process_2021
GO_Biological_Process_2021,O-glycan processing (GO:0016266),4/61,0.0032458250655199,0.0673495499079716,0,0,7.0687432867884,40.50662547348915,B3GNT6;B3GNT3;MUC5B;MUC4,1,GO_Biological_Process_2021
GO_Biological_Process_2021,positive regulation of lipid kinase activity (GO:0090218),3/30,0.0032779948419926,0.0673495499079716,0,0,11.152284263959393,63.79690278522437,CD19;CCR7;CCL19,1,GO_Biological_Process_2021
GO_Biological_Process_2021,regulation of dendritic cell antigen processing and presentation (GO:0002604),2/9,0.0034202318391573,0.0673495499079716,0,0,28.561327561327563,162.17255858986445,CCR7;CCL19,1,GO_Biological_Process_2021
GO_Biological_Process_2021,negative regulation of production of molecular mediator of immune response (GO:0002701),2/9,0.0034202318391573,0.0673495499079716,0,0,28.561327561327563,162.17255858986445,FCRL3;CD22,1,GO_Biological_Process_2021
GO_Biological_Process_2021,fucose catabolic process (GO:0019317),2/9,0.0034202318391573,0.0673495499079716,0,0,28.561327561327563,162.17255858986445,FUT6;FUT2,1,GO_Biological_Process_2021
GO_Biological_Process_2021,L-fucose catabolic process (GO:0042355),2/9,0.0034202318391573,0.0673495499079716,0,0,28.561327561327563,162.17255858986445,FUT6;FUT2,1,GO_Biological_Process_2021
GO_Biological_Process_2021,L-fucose metabolic process (GO:0042354),2/9,0.0034202318391573,0.0673495499079716,0,0,28.561327561327563,162.17255858986445,FUT6;FUT2,1,GO_Biological_Process_2021
GO_Biological_Process_2021,innate immune response (GO:0045087),9/302,0.0034649286126287,0.0673495499079716,0,0,3.13712631560138,17.77201899788515,BLK;IGLL5;BPIFA1;CR2;BPIFB1;LCN2;RNF39;WFDC2;LTF,1,GO_Biological_Process_2021
GO_Biological_Process_2021,antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844),4/64,0.0038612882755342,0.0735220808382343,0,0,6.714285714285714,37.30963669275872,BPIFA1;CXCL13;CXCL14;LTF,1,GO_Biological_Process_2021
GO_Biological_Process_2021,regulation of JNK cascade (GO:0046328),5/105,0.0040960318506073,0.0764319543323322,0,0,5.051282051282051,27.770618287278307,UNC5CL;SERPINF2;CD27;CCR7;CCL19,1,GO_Biological_Process_2021
GO_Biological_Process_2021,immunoglobulin mediated immune response (GO:0016064),2/10,0.0042472321345398,0.0776993643436406,0,0,24.98989898989899,136.4820277236255,CD19;CD27,1,GO_Biological_Process_2021
GO_Biological_Process_2021,positive regulation of interleukin-12 production (GO:0032735),3/34,0.0046920695585813,0.084186555733776,0,0,9.711314884558703,52.07091984713094,CCR7;CCL19;LTB,1,GO_Biological_Process_2021
GO_Biological_Process_2021,regulation of phosphatidylinositol 3-kinase activity (GO:0043551),3/35,0.0050945877067937,0.0874818211512808,0,0,9.407360406091373,49.666879272481374,CD19;CCR7;CCL19,1,GO_Biological_Process_2021
GO_Biological_Process_2021,B cell mediated immunity (GO:0019724),2/11,0.0051570205394645,0.0874818211512808,0,0,22.21212121212121,117.00004466783103,CD19;CD27,1,GO_Biological_Process_2021
GO_Biological_Process_2021,response to prostaglandin E (GO:0034695),2/11,0.0051570205394645,0.0874818211512808,0,0,22.21212121212121,117.00004466783103,CCR7;CCL19,1,GO_Biological_Process_2021
GO_Biological_Process_2021,negative regulation of leukocyte apoptotic process (GO:2000107),2/12,0.0061478754316609,0.0985529919508334,0,0,19.98989898989899,101.78154350719132,CCR7;CCL19,1,GO_Biological_Process_2021
GO_Biological_Process_2021,poly-N-acetyllactosamine biosynthetic process (GO:0030311),2/12,0.0061478754316609,0.0985529919508334,0,0,19.98989898989899,101.78154350719132,B3GNT6;B3GNT3,1,GO_Biological_Process_2021
GO_Biological_Process_2021,sphingoid metabolic process (GO:0046519),2/12,0.0061478754316609,0.0985529919508334,0,0,19.98989898989899,101.78154350719132,PLPP2;SGPP2,1,GO_Biological_Process_2021
GO_Biological_Process_2021,tumor necrosis factor-mediated signaling pathway (GO:0033209),5/116,0.0062321827707386,0.0985529919508334,0,0,4.548163548163548,23.095704770902916,TNFRSF13B;LTA;CD27;TNFRSF13C;LTB,1,GO_Biological_Process_2021
GO_Biological_Process_2021,lymphocyte proliferation (GO:0046651),3/38,0.0064242870484076,0.0998976636027394,0,0,8.599709934735316,43.40849457481817,CD79A;CR2;MS4A1,1,GO_Biological_Process_2021
GO_Biological_Process_2021,regulation of T cell proliferation (GO:0042129),4/76,0.0071076364988025,0.1068966391568535,0,0,5.591836734693878,27.660498564595542,TNFRSF13C;CCL19;FOXP3;TNFRSF21,1,GO_Biological_Process_2021
GO_Biological_Process_2021,poly-N-acetyllactosamine metabolic process (GO:0030309),2/13,0.0072181010363148,0.1068966391568535,0,0,18.171717171717173,89.6077061786221,B3GNT6;B3GNT3,1,GO_Biological_Process_2021
GO_Biological_Process_2021,response to nitric oxide (GO:0071731),2/13,0.0072181010363148,0.1068966391568535,0,0,18.171717171717173,89.6077061786221,CCR7;CCL19,1,GO_Biological_Process_2021
GO_Biological_Process_2021,positive regulation of glycoprotein biosynthetic process (GO:0010560),2/14,0.0083660270881822,0.1219609886449067,0,0,16.656565656565657,79.67795051677446,CCR7;CCL19,1,GO_Biological_Process_2021
GO_Biological_Process_2021,defense response to bacterium (GO:0042742),6/176,0.0086498721180764,0.1241589336333126,0,0,3.57125530624621,16.96421531881607,IGLL5;BPIFA1;LCN2;CXCL13;WFDC2;LTF,1,GO_Biological_Process_2021
GO_Biological_Process_2021,lipid modification (GO:0030258),3/43,0.0090618828226133,0.1281020708105799,0,0,7.522842639593908,35.3850321555175,DGKA;SGPP2;PLPP2,1,GO_Biological_Process_2021
GO_Biological_Process_2021,regulation of integrin activation (GO:0033623),2/15,0.0095900084936835,0.1284711900513721,0,0,15.374514374514376,71.44588341233826,FBLIM1;CXCL13,1,GO_Biological_Process_2021
GO_Biological_Process_2021,regulation of lymphocyte activation (GO:0051249),2/15,0.0095900084936835,0.1284711900513721,0,0,15.374514374514376,71.44588341233826,FCRL3;CD19,1,GO_Biological_Process_2021
GO_Biological_Process_2021,antibacterial humoral response (GO:0019731),3/44,0.0096544592002155,0.1284711900513721,0,0,7.338987247740498,34.05536215760635,BPIFA1;WFDC2;LTF,1,GO_Biological_Process_2021
GO_Biological_Process_2021,lymphocyte chemotaxis (GO:0048247),3/44,0.0096544592002155,0.1284711900513721,0,0,7.338987247740498,34.05536215760635,CCL22;CCL19;CXCL13,1,GO_Biological_Process_2021
GO_Biological_Process_2021,cytokine-mediated signaling pathway (GO:0019221),13/621,0.009865309931081,0.1284711900513721,0,0,2.1944131719673514,10.135403535795303,CCL22;TNFRSF13B;MX2;LIF;TNFRSF13C;CXCL13;FCER2;LCN2;LTA;CD27;CCL19;LTB;CRLF1,1,GO_Biological_Process_2021
GO_Biological_Process_2021,protein glycosylation (GO:0006486),5/130,0.0099508954614366,0.1284711900513721,0,0,4.035897435897436,18.60586145140937,FUT6;ST6GALNAC1;B3GNT6;B3GNT3;FUT2,1,GO_Biological_Process_2021
GO_Biological_Process_2021,lymphocyte differentiation (GO:0030098),4/84,0.010051872319132,0.1284711900513721,0,0,5.030612244897959,23.14079802223381,CD79B;CD79A;CR2;MS4A1,1,GO_Biological_Process_2021
GO_Biological_Process_2021,negative regulation of anoikis (GO:2000811),2/16,0.0108884250018907,0.131933773074858,0,0,14.275613275613276,64.52655688502057,CEACAM6;CEACAM5,1,GO_Biological_Process_2021
GO_Biological_Process_2021,B cell activation involved in immune response (GO:0002312),2/16,0.0108884250018907,0.131933773074858,0,0,14.275613275613276,64.52655688502057,CD19;CD180,1,GO_Biological_Process_2021
GO_Biological_Process_2021,dendritic cell chemotaxis (GO:0002407),2/16,0.0108884250018907,0.131933773074858,0,0,14.275613275613276,64.52655688502057,CCR7;CCL19,1,GO_Biological_Process_2021
GO_Biological_Process_2021,digestive tract morphogenesis (GO:0048546),2/16,0.0108884250018907,0.131933773074858,0,0,14.275613275613276,64.52655688502057,AGR2;STRA6,1,GO_Biological_Process_2021
GO_Biological_Process_2021,negative regulation of interleukin-10 production (GO:0032693),2/17,0.0122596808748648,0.1466446443108831,0,0,13.323232323232324,58.64139939765107,FOXP3;TNFRSF21,1,GO_Biological_Process_2021
GO_Biological_Process_2021,aminoglycan biosynthetic process (GO:0006023),3/49,0.0129514996055504,0.151046864149732,0,0,6.539615978812624,28.42472661929245,B3GNT6;B3GNT3;HS3ST1,1,GO_Biological_Process_2021
GO_Biological_Process_2021,oligosaccharide metabolic process (GO:0009311),3/49,0.0129514996055504,0.151046864149732,0,0,6.539615978812624,28.42472661929245,FUT6;FUT2;FUT3,1,GO_Biological_Process_2021
GO_Biological_Process_2021,regulation of B cell differentiation (GO:0045577),2/18,0.0137022045657748,0.1521923435698564,0,0,12.48989898989899,53.58414643474309,FCRL3;CD27,1,GO_Biological_Process_2021
GO_Biological_Process_2021,dendritic cell migration (GO:0036336),2/18,0.0137022045657748,0.1521923435698564,0,0,12.48989898989899,53.58414643474309,CCR7;CCL19,1,GO_Biological_Process_2021
GO_Biological_Process_2021,positive regulation of cell adhesion mediated by integrin (GO:0033630),2/18,0.0137022045657748,0.1521923435698564,0,0,12.48989898989899,53.58414643474309,LIF;CXCL13,1,GO_Biological_Process_2021
GO_Biological_Process_2021,positive regulation of phosphoprotein phosphatase activity (GO:0032516),2/18,0.0137022045657748,0.1521923435698564,0,0,12.48989898989899,53.58414643474309,FCRL3;PPP1R14D,1,GO_Biological_Process_2021
GO_Biological_Process_2021,regulation of interleukin-12 production (GO:0032655),3/51,0.0144285702203611,0.1583747766540822,0,0,6.266497461928934,26.5608314530226,CCR7;LTB;CCL19,1,GO_Biological_Process_2021
GO_Biological_Process_2021,regulation of lymphocyte proliferation (GO:0050670),2/19,0.0152144484017713,0.1594952849309288,0,0,11.754604872251932,49.19901329869125,MZB1;CD22,1,GO_Biological_Process_2021
GO_Biological_Process_2021,diol metabolic process (GO:0034311),2/19,0.0152144484017713,0.1594952849309288,0,0,11.754604872251932,49.19901329869125,SGPP2;PLPP2,1,GO_Biological_Process_2021
GO_Biological_Process_2021,positive regulation of neutrophil chemotaxis (GO:0090023),2/19,0.0152144484017713,0.1594952849309288,0,0,11.754604872251932,49.19901329869125,CCR7;CCL19,1,GO_Biological_Process_2021
GO_Biological_Process_2021,sphingosine metabolic process (GO:0006670),2/19,0.0152144484017713,0.1594952849309288,0,0,11.754604872251932,49.19901329869125,SGPP2;PLPP2,1,GO_Biological_Process_2021
GO_Biological_Process_2021,ceramide metabolic process (GO:0006672),3/55,0.0176580617409628,0.1830552400479819,0,0,5.783287778211636,23.34460456181631,FUT6;PLPP2;FUT3,1,GO_Biological_Process_2021
GO_Biological_Process_2021,regulation of anoikis (GO:2000209),2/21,0.0184420232483939,0.1838522501671501,0,0,10.516214779372676,41.9925427496273,CEACAM6;CEACAM5,1,GO_Biological_Process_2021
GO_Biological_Process_2021,regulation of lipopolysaccharide-mediated signaling pathway (GO:0031664),2/21,0.0184420232483939,0.1838522501671501,0,0,10.516214779372676,41.9925427496273,CD180;LTF,1,GO_Biological_Process_2021
GO_Biological_Process_2021,innate immune response in mucosa (GO:0002227),2/21,0.0184420232483939,0.1838522501671501,0,0,10.516214779372676,41.9925427496273,BPIFB1;LTF,1,GO_Biological_Process_2021
GO_Biological_Process_2021,chemokine-mediated signaling pathway (GO:0070098),3/56,0.018523163468073,0.1838522501671501,0,0,5.6738818120869645,22.631601044641528,CCL22;CCL19;CXCL13,1,GO_Biological_Process_2021
GO_Biological_Process_2021,protein O-linked glycosylation (GO:0006493),4/102,0.0192901194103944,0.1894492779989263,0,0,4.102873802582257,16.19881151232085,B3GNT6;B3GNT3;MUC5B;MUC4,1,GO_Biological_Process_2021
GO_Biological_Process_2021,positive regulation of granulocyte chemotaxis (GO:0071624),2/22,0.0201543754357544,0.1918778804240706,0,0,9.98989898989899,39.00390099361183,CCR7;CCL19,1,GO_Biological_Process_2021
GO_Biological_Process_2021,positive regulation of neutrophil migration (GO:1902624),2/22,0.0201543754357544,0.1918778804240706,0,0,9.98989898989899,39.00390099361183,CCR7;CCL19,1,GO_Biological_Process_2021
GO_Biological_Process_2021,membrane lipid metabolic process (GO:0006643),2/22,0.0201543754357544,0.1918778804240706,0,0,9.98989898989899,39.00390099361183,FUT2;SMPDL3B,1,GO_Biological_Process_2021
GO_Biological_Process_2021,peptidyl-L-cysteine S-palmitoylation (GO:0018230),2/23,0.02193048949736,0.2005994774611462,0,0,9.513708513708512,36.34120010270031,GOLGA7B;ZDHHC9,1,GO_Biological_Process_2021
GO_Biological_Process_2021,peptidyl-S-diacylglycerol-L-cysteine biosynthetic process from peptidyl-cysteine (GO:0018231),2/23,0.02193048949736,0.2005994774611462,0,0,9.513708513708512,36.34120010270031,GOLGA7B;ZDHHC9,1,GO_Biological_Process_2021
GO_Biological_Process_2021,regulation of toll-like receptor 4 signaling pathway (GO:0034143),2/23,0.02193048949736,0.2005994774611462,0,0,9.513708513708512,36.34120010270031,BPIFB1;LTF,1,GO_Biological_Process_2021
GO_Biological_Process_2021,positive regulation of histone acetylation (GO:0035066),2/23,0.02193048949736,0.2005994774611462,0,0,9.513708513708512,36.34120010270031,LIF;FOXP3,1,GO_Biological_Process_2021
GO_Biological_Process_2021,cellular response to chemokine (GO:1990869),3/60,0.0222156039824466,0.2012345486953666,0,0,5.274646005877639,20.080368230600836,CCL22;CCL19;CXCL13,1,GO_Biological_Process_2021
GO_Biological_Process_2021,immune response-activating cell surface receptor signaling pathway (GO:0002429),2/24,0.0237689324469591,0.2132347497405085,0,0,9.08080808080808,33.956554984338226,BLK;CD19,1,GO_Biological_Process_2021
GO_Biological_Process_2021,negative regulation of endopeptidase activity (GO:0010951),3/63,0.0252288983054118,0.2197111712634421,0,0,5.01015228426396,18.43618393885774,SERPINF1;SERPINF2;LTF,1,GO_Biological_Process_2021
GO_Biological_Process_2021,negative regulation of antigen receptor-mediated signaling pathway (GO:0050858),2/25,0.0256682933201663,0.2197111712634421,0,0,8.685551163812033,31.810820468950148,FCRL3;CD22,1,GO_Biological_Process_2021
GO_Biological_Process_2021,cellular polysaccharide biosynthetic process (GO:0033692),2/25,0.0256682933201663,0.2197111712634421,0,0,8.685551163812033,31.810820468950148,B3GNT6;B3GNT3,1,GO_Biological_Process_2021
GO_Biological_Process_2021,negative regulation of sequestering of calcium ion (GO:0051283),2/25,0.0256682933201663,0.2197111712634421,0,0,8.685551163812033,31.810820468950148,CCR7;CCL19,1,GO_Biological_Process_2021
GO_Biological_Process_2021,regulation of neutrophil chemotaxis (GO:0090022),2/25,0.0256682933201663,0.2197111712634421,0,0,8.685551163812033,31.810820468950148,CCR7;CCL19,1,GO_Biological_Process_2021
GO_Biological_Process_2021,positive regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043123),5/171,0.0288909145265973,0.2426146471063931,0,0,3.032746370095768,10.748744933976464,UNC5CL;CCR7;CCL19;CARD11;LTF,1,GO_Biological_Process_2021
GO_Biological_Process_2021,sphingolipid metabolic process (GO:0006665),4/116,0.0292190224583922,0.2426146471063931,0,0,3.587463556851312,12.674276737042405,FUT6;PLPP2;SGPP2;FUT3,1,GO_Biological_Process_2021
GO_Biological_Process_2021,positive regulation of cellular component movement (GO:0051272),2/27,0.0296442334084981,0.2426146471063931,0,0,7.98989898989899,28.11236101024157,CCR7;CCL19,1,GO_Biological_Process_2021
GO_Biological_Process_2021,regulation of toll-like receptor signaling pathway (GO:0034121),2/27,0.0296442334084981,0.2426146471063931,0,0,7.98989898989899,28.11236101024157,FCRL3;SMPDL3B,1,GO_Biological_Process_2021
GO_Biological_Process_2021,release of sequestered calcium ion into cytosol (GO:0051209),2/27,0.0296442334084981,0.2426146471063931,0,0,7.98989898989899,28.11236101024157,CCR7;CCL19,1,GO_Biological_Process_2021
GO_Biological_Process_2021,response to ketone (GO:1901654),2/28,0.0317180982356202,0.2551119452916698,0,0,7.682206682206682,26.51027997028578,CCR7;CCL19,1,GO_Biological_Process_2021
GO_Biological_Process_2021,mucosal immune response (GO:0002385),2/28,0.0317180982356202,0.2551119452916698,0,0,7.682206682206682,26.51027997028578,BPIFB1;LTF,1,GO_Biological_Process_2021
GO_Biological_Process_2021,neutrophil chemotaxis (GO:0030593),3/70,0.0330703326834923,0.2637147042196437,0,0,4.485112508523373,15.290280888801105,CCL22;CCL19;CXCL13,1,GO_Biological_Process_2021
GO_Biological_Process_2021,positive regulation of B cell proliferation (GO:0030890),2/30,0.0360309884965366,0.2824950610694846,0,0,7.132756132756133,23.70482996930019,FCRL3;TNFRSF13C,1,GO_Biological_Process_2021
GO_Biological_Process_2021,response to alcohol (GO:0097305),2/30,0.0360309884965366,0.2824950610694846,0,0,7.132756132756133,23.70482996930019,CCR7;CCL19,1,GO_Biological_Process_2021
GO_Biological_Process_2021,granulocyte chemotaxis (GO:0071621),3/73,0.0367752254746638,0.2859273780655116,0,0,4.292240754169688,14.17697453700434,CCL22;CCL19;CXCL13,1,GO_Biological_Process_2021
GO_Biological_Process_2021,protein palmitoylation (GO:0018345),2/31,0.0382674239788824,0.2926516932155514,0,0,6.886450714036921,22.47156498788087,GOLGA7B;ZDHHC9,1,GO_Biological_Process_2021
GO_Biological_Process_2021,positive regulation of locomotion (GO:0040017),2/31,0.0382674239788824,0.2926516932155514,0,0,6.886450714036921,22.47156498788087,CCR7;CCL19,1,GO_Biological_Process_2021
GO_Biological_Process_2021,positive regulation of lymphocyte proliferation (GO:0050671),3/75,0.0393585070908985,0.2961410251274867,0,0,4.1725888324873095,13.498504866555718,FCRL3;TNFRSF13C;CCL19,1,GO_Biological_Process_2021
GO_Biological_Process_2021,positive regulation of T cell activation (GO:0050870),3/75,0.0393585070908985,0.2961410251274867,0,0,4.1725888324873095,13.498504866555718,CCR7;TNFRSF13C;CCL19,1,GO_Biological_Process_2021
GO_Biological_Process_2021,neutrophil migration (GO:1990266),3/77,0.0420316296186853,0.3008588620993302,0,0,4.059404582247222,12.865604326296657,CCL22;CCL19;CXCL13,1,GO_Biological_Process_2021
GO_Biological_Process_2021,regulation of cell adhesion (GO:0030155),4/133,0.0447024255395489,0.3008588620993302,0,0,3.1120075937351683,9.671271629689835,ADGRG1;PLXNB3;CCR7;FUT2,1,GO_Biological_Process_2021
GO_Biological_Process_2021,regulation of cell motility (GO:2000145),4/133,0.0447024255395489,0.3008588620993302,0,0,3.1120075937351683,9.671271629689835,PLXNB3;CCR7;CCL19;FUT3,1,GO_Biological_Process_2021
